symbol,n_cp,n_covered,coverage,n_with_signal,n_match,match_rate
ACB,12,12,1.0,12,3,0.25
BCM,15,15,1.0,15,7,0.467
BID,10,10,1.0,10,6,0.6
BVH,21,21,1.0,21,9,0.429
CTG,15,14,0.933,14,10,0.714
FPT,14,14,1.0,14,6,0.429
GAS,16,16,1.0,16,6,0.375
GVR,22,22,1.0,22,14,0.636
HDB,11,11,1.0,11,3,0.273
HPG,15,15,1.0,15,8,0.533
LPB,21,21,1.0,21,7,0.333
MBB,13,13,1.0,13,7,0.538
MSN,14,14,1.0,14,6,0.429
MWG,10,10,1.0,10,6,0.6
PLX,17,17,1.0,17,9,0.529
SAB,20,20,1.0,20,10,0.5
SHB,16,15,0.938,15,7,0.467
SSB,11,11,1.0,11,8,0.727
SSI,19,19,1.0,19,7,0.368
STB,12,12,1.0,12,6,0.5
TCB,15,15,1.0,15,7,0.467
TPB,7,7,1.0,7,4,0.571
VCB,11,11,1.0,11,8,0.727
VHM,19,19,1.0,19,9,0.474
VIB,14,14,1.0,14,7,0.5
VIC,25,25,1.0,25,17,0.68
VJC,18,18,1.0,18,8,0.444
VNM,12,11,0.917,11,7,0.636
VPB,11,11,1.0,11,7,0.636
VRE,19,19,1.0,19,9,0.474
